Date,Production_all_log,Production_NAICS_log,Production_SIC_log,Employment_all_lin,Employment_manu_lin,Consumption_log,Inflation,Inflation_urban,NewOrders_log,Wages_all_log,Wages_manu_log,Labor_all_lin,Labor_manu_lin,FederalFundsRate_lin,StockMarketIndex_log,M2_cca,Production_all_log_cycle,Production_NAICS_log_cycle,Production_SIC_log_cycle,Employment_all_lin_cycle,Employment_manu_lin_cycle,Consumption_log_cycle,Inflation_cycle,Inflation_urban_cycle,NewOrders_log_cycle,Wages_all_log_cycle,Wages_manu_log_cycle,Labor_all_lin_cycle,Labor_manu_lin_cycle,FederalFundsRate_lin_cycle,StockMarketIndex_log_cycle,M2_cca_cycle
1975-01-01,375.28138865766795,362.74959506696655,368.2177043054261,77293,17344,346.5892140593967,7.387847910416246,9.213097078841198,349.0428515390098,152.82278570085572,151.29270120532564,36,39.2,7.13,434.3545686826761,5.57399807777131,-11.034764346763211,-13.466662355254925,-13.441130202501256,-3793.573494066717,-880.640491078062,-8.96131105562381,4.352928765555022,5.75523908192379,-44.892473919476856,1.0540759217109894,0.3398391134178098,-0.18789342854820745,-1.475549526190342,1.5529770617973844,-58.86724792320575,-2.882915251527984
1975-02-01,372.9546236589425,359.88234469380814,365.3987757233826,76918,17004,347.4571751462126,6.524220798455076,6.863698407344556,368.8879454113936,153.4714366238164,152.16989981260934,35.9,38.9,6.24,440.1706656415092,10.283517118844676,-15.198125929948844,-18.236764705363612,-18.316412693750692,-5009.971292731876,-1422.9220988033776,-9.36319593278074,3.4514948662424887,3.5298491473500597,-26.51664958516136,1.1331684248420686,1.0823826177064007,-0.30103205603601424,-1.9145370691762196,0.2633736690698534,-49.81980442748659,1.1383814918391355
1975-03-01,371.8765872586335,358.52452253429016,364.07574416814106,76648,16853,347.2432182590606,4.043594305040941,4.554085162261841,361.09179126442245,154.11590716808058,153.25568680981428,35.7,38.8,5.54,442.3168590001218,14.224515423182517,-15.87197195479746,-19.327566302990306,-19.282229567541208,-5138.468919656676,-1452.8881195512222,-9.344171794222746,0.6166591427520491,0.37195036003756243,-35.11794461374086,1.4736084535596206,2.4457123251618214,-0.5274126553727712,-2.0526353449125807,-0.7834877151747914,-47.6741241444675,4.746576787663502
1975-04-01,371.9554138381855,358.4066011006852,363.9292597669476,76460,16759,347.3549050512989,4.11561262269163,4.5368674078873825,375.18542532753247,154.11590716808058,153.25568680981428,35.8,39,5.49,446.9350497209817,13.031685514771103,-14.647821382465622,-18.160942142288718,-18.049290880885962,-4749.16669931756,-1367.5728769301022,-8.028910906214264,0.28432272771108913,-0.41649704104939644,-20.583609851167353,0.7438534461543043,1.5705270313625874,-0.4227564978026024,-1.850471619723244,-0.7978437479520126,-38.550190828373786,4.962693781714231
1975-05-01,371.7260378463581,358.2829812174239,363.87460131520646,76624,16746,349.33510698326995,4.7411476720203085,2.262017634925711,385.43938925915097,154.5432582458188,153.6867219599265,35.9,39,5.22,451.2506523066526,16.314643221113677,-15.609550393358802,-19.20823692999869,-18.966676334787223,-4501.507368870793,-1437.705090412397,-5.591551699475588,0.7440433975389302,-2.5041440250820304,-12.708512328217353,1.259079521092417,1.5034004574324626,-0.327130164219561,-1.8073402786404102,-1.8769081203269993,-33.00501165134676,8.407808152136619
1975-06-01,372.38217973115,359.15091537176596,364.7385358784524,76521,16690,349.4778795283686,7.479307447806416,9.005670784881351,400.55133485154846,155.1808799597464,154.32981099295552,35.9,39.2,5.55,455.5874915273824,18.965280406955706,-14.280160690665184,-17.702213915959476,-17.413477763431104,-4501.440279828224,-1404.7575862967933,-4.654553127868553,3.242813048922476,4.726756657654882,2.558726994086385,1.4155890524652648,1.5345107463019758,-0.3140462820348091,-1.5934114573661233,-1.8772138300989143,-28.47866009887497,11.034298177815153
1975-07-01,373.34559915087635,360.5359248614304,366.06702907000374,76770,16678,349.8838176804762,10.250523705376725,11.162871194776093,406.73158898341813,155.60371357069852,154.96879080283264,35.9,39.4,6.1,448.58234283555254,14.983941651537263,-14.635010245448882,-17.768311517967447,-17.494773059462943,-3496.9934442235244,-1360.4361614952286,-5.003604517156134,6.2806422065272045,6.5744581899554095,5.1448479265640685,1.1758160066871994,1.517271787153902,-0.3280330372283231,-1.4120793647688572,-3.002526052753952,-39.50757975135531,6.832561865462987
1975-08-01,374.3777119943343,361.6410906599724,367.13568256439174,77153,16824,350.1404642079181,5.1971720369942975,4.436234257591443,409.93321037331395,156.44405465033645,155.814461804655,36.1,39.7,6.14,446.45278216552384,9.80497743816632,-12.720458864644286,-15.212490273357844,-15.08869391309355,-3623.2248398834636,-1292.6722397376143,-2.6010642290845567,0.8182116600615847,0.26837841089950043,12.231288567081435,1.830529900402297,1.7377201864750589,-0.11501750652691811,-1.087915373789933,-2.4706031908096007,-37.30214299551028,1.6020329992962434
1975-09-01,375.6061353446919,363.31632351050166,368.7223083088529,77228,16904,350.39344591132675,5.924083787834563,8.82356916631048,410.0989104940769,156.65304114228238,156.44405465033645,36.1,39.8,6.24,442.9268016765963,10.20972430436641,-13.578806475353986,-16.002118292146008,-15.87387128884211,-3552.2529721508035,-1081.3697654463103,-4.201518497030975,0.8947300364296353,2.7634571826869845,14.082465965098436,0.18722178922359944,1.6552027052683513,-0.09053900859804287,-1.0059752561127553,-2.9813997314913294,-45.39296551607242,3.5999201320390153
1975-10-01,376.04719436639044,363.85909179456416,369.2522809028735,77540,16984,350.38742996907797,6.97121501346747,6.575358917550685,416.20032106959155,157.2773928062509,156.8615917913845,36.1,39.9,5.82,448.9085718198197,7.600688960503664,-14.21050778368118,-16.87195203311728,-16.74040779226266,-4433.443323253872,-1453.3866154148345,-3.4514101672521065,1.7426397860637541,-0.14865730794770826,22.15873803295534,1.1511420454221195,1.6529434567361818,-0.03483733984347026,-0.8550714725552027,-2.6288728783480764,-39.247026387294625,1.9673622372611046
1975-11-01,376.26270041805634,364.16777776296396,369.49435303813016,77685,17025,351.14260287168423,7.671183671546865,8.711472015364922,413.03549997451336,158.10384379124025,157.48464676644812,36.1,39.9,5.22,451.3493375495977,10.894472993558656,-14.725771093729236,-17.51595939386027,-17.45633066594081,-5069.7209592087165,-1535.5050145960377,-2.782691303126853,2.6867207237857844,3.8935791600267935,19.63040818197726,0.6802712730183771,2.1521858794492346,-0.09436147253742888,-0.8833476533124553,-3.5098947571564443,-24.773782224818433,5.039509300753436
1975-12-01,377.49952218319527,365.4365646082061,370.7907271518519,78017,17140,352.09044910269034,6.600744363061149,6.492351273897241,414.4720769547168,158.30939370944986,158.10384379124025,36.2,40.2,5.2,450.1918578353024,11.032651485674965,-12.405654224981163,-15.387640337395453,-15.367019772292792,-4163.198482043183,-1384.0994529415038,-0.6192221437813714,1.3553523269564423,0.9245362976020797,19.10439744639376,1.2554624781180337,2.500365352119559,0.04822889016276832,-0.5798590942427353,-3.3383221323002674,-27.86686262549756,3.926191880451211
1976-01-01,378.93761606055614,366.7944335791803,372.09472421389796,78503,17287,353.079186816494,4.570501342369308,4.308801756874248,415.57531903507436,158.9235205116581,158.9235205116581,36.3,40.3,4.87,461.37334265633126,12.218629159885444,-10.187701804197218,-12.414241204966913,-12.443735955749958,-3181.0713415605424,-888.3434839241127,0.42151401337582683,-1.1546047063112796,-1.769506301281882,19.6817318383342,1.6775011240016795,3.272283733651335,0.1438957475273952,-0.45072303619667764,-3.413429986951644,-15.814547593268458,5.509706933836437
